hitech_prgm,hitech_sub_prgm,hitech_prgm_website,hitech_prgm_role,consortia_region,grantee_name,org_name,federal_funding,region,region_code,zip_code,grantee_website,grantee_website_url
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Program Obligations,,,,"249,999,927.00",National,US,,http://healthit.gov/policy-researchers-implementers/beacon-community-program,http://healthit.gov/policy-researchers-implementers/beacon-community-program
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Eastern Maine Healthcare Systems,Bangor Beacon Community,"12,749,740.00",Maine,ME,4401,http://www.bangorbeaconcommunity.org/,http://www.bangorbeaconcommunity.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Inland Northwest Health Services,Beacon Community of the Inland Northwest,"15,702,479.00",Washington,WA,99210,https://www.inhs.info/,https://www.inhs.info/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Indiana Health Information Exchange, Inc.",Central Indiana Beacon Community,"16,008,431.00",Indiana,IN,46202,http://www.ihie.org/Beacon-Community/default.php,http://www.ihie.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Rocky Mountain Health Maintenance Organization,Colorado Beacon Community,"11,878,279.00",Colorado,CO,81506,http://www.rmhp.org/,http://www.rmhp.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Louisiana Public Health Institute,Crescent City Beacon Community,"13,525,434.00",Louisiana,LA,70112,http://www.crescentcitybeacon.org/,http://www.crescentcitybeacon.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Delta Health Alliance,Delata BLUES Beacon Community,"14,666,156.00",Mississippi,MS,38776,http://www.deltahealthalliance.org/projects/beacon-cooperative-community-agreement-program,http://www.deltahealthalliance.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Greater Cincinnati Health Bridge, Inc.",Great Cincinnati Beacon Community,"13,775,630.00",Ohio,OH,45212,http://www.healthbridge.org/WhatWeDo/Projects/BeaconCollaboration.aspx,http://www.healthbridge.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Community Services Council of Tulsa,Greater Tulsa Health Access Network Beacon Community,"12,043,948.00",Oklahoma,OK,74101,http://myhealthaccess.net/about-us/,http://myhealthaccess.net/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,University of Hawaii at Hilo,Hawaii County Beacon Community,"16,091,390.00",Hawaii,HI,96719,http://www.hibeacon.org/,http://www.hibeacon.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Geisinger Clinic,Keystone Beacon Community,"16,069,110.00",Pennsylvania,PA,17822,http://www.keyhie.org/,http://www.keyhie.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Rhode Island Quality Institute,Rhode Island Beacon Community,"15,914,787.00",Rhode Island,RI,2814,http://www.riqi.org/matriarch/MultiPiecePage.asp_Q_PageID_E_133_A_PageName_E_ServicesBeacon,http://www.riqi.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,The San Diego California Health Referral Region,San Diego Beacon Community,"15,275,115.00",California,CA,92093,http://sdhealthconnect.org/,http://sdhealthconnect.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Southeastern Michigan Health Association,Southeast Michigan Beacon Community,"16,224,370.00",Michigan,MI,48202,http://www.semha.org/semha/,http://www.semha.org/semha/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,Mayo Clinic Rochester,Southeast Minnesota Beacon Community,"12,284,770.00",Minnesota,MN,55901,http://semnbeacon.wordpress.com/,http://semnbeacon.wordpress.com/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Southern Piedmont Community Care Plan, Inc.",Southern Piedmont Beacon Community,"15,907,622.00",North Carolina,NC,28025,http://www.ccofsp.com/,http://www.ccofsp.com/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,HealthInsight,Utah Beacon Community,"15,790,181.00",Utah,UT,84107,http://healthinsight.org/,http://healthinsight.org/
Beacon Communities Program,Beacon Communities Program,http://healthit.gov/policy-researchers-implementers/beacon-community-program,Recipient,,"Western New York Clinical Information Exchange, Inc.",Western New York Beacon Community,"16,092,485.00",New York,NY,14201,http://wnyhealthelink.com/Beacon,http://wnyhealthelink.com/Beacon
Health IT Workforce Programs,Health IT Workforce Programs,http://healthit.gov/providers-professionals/workforce-development-programs,Program Obligations,,,,"117,987,603.00",National,US,,http://healthit.gov/providers-professionals/workforce-development-programs,http://healthit.gov/providers-professionals/workforce-development-programs
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Consortia Lead,Region A,Bellevue College,,"6,163,261.00",Washington,WA,98007,http://bellevuecollege.edu/informatics/,http://bellevuecollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Consortia Lead,Region B,Los Rios Community College District,,"10,617,915.00",California,CA,95825,http://www.losrios.edu/,http://www.losrios.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Consortia Lead,Region C,Cuyahoga Community College District,,"14,647,896.00",Ohio,OH,44115,http://www.mwhit.org/,http://www.mwhit.org/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Consortia Lead,Region D,Pitt Community College,,"20,570,901.00",North Carolina,NC,27835,http://www.pittcc.edu/academics/programs/health-sciences/health-information-technology/index.html,http://www.pittcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Consortia Lead,Region E,Tidewater Community College,,"16,017,608.00",Virginia,VA,23514,http://www.tcc.edu/academics/divisions/healthprofessions/hit/healthit/,http://www.tcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Atlanta Technical College,,0,Georgia,GA,30310,http://www.atlantatech.edu/CEHITProgram.php,http://www.atlantatech.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Baltimore County Community College,,0,Maryland,MD,21215,http://www.ccbcmd.edu/,http://www.ccbcmd.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Bristol Community College,,0,Massachusetts,MA,2720,http://www.bristol.mass.edu/,http://www.bristol.mass.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Brookdale Community College,,0,New Jersey,NJ,7738,http://www.brookdalecc.edu/pages/1.asp,http://www.brookdalecc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Broward Community College,,0,Florida,FL,33301,http://www.broward.edu/hit,http://www.broward.edu/hit
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Burlington County College,,0,New Jersey,NJ,8068,http://www.bcc.edu/pages/1.asp,http://www.bcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Butte College,,0,California,CA,95965,http://www.butte.edu/,http://www.butte.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Camden County College,,0,New Jersey,NJ,8012,http://www.camdencc.edu/,http://www.camdencc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Capital Community College,,0,Connecticut,CT,6103,http://www.ccc.commnet.edu/,http://www.ccc.commnet.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Catawba Valley Community College,,0,North Carolina,NC,28602,http://www.cvcc.edu/index.cfm,http://www.cvcc.edu/index.cfm
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Central Piedmont Community College,,0,North Carolina,NC,28204,http://www.cpcc.edu/,http://www.cpcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Chattanooga State Technical Community College,,0,Tennessee,TN,37406,http://www.chattanoogastate.edu/hitech/index.html,http://www.chattanoogastate.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Cincinnati State Technical and Community College,,0,Ohio,OH,45223,http://www.cincinnatistate.edu/,http://www.cincinnatistate.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,College of Southern Nevada,,0,Nevada,NV,89146,http://www.csn.edu/,http://www.csn.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Columbus State Community College,,0,Ohio,OH,43215,http://www2.cscc.edu/,http://www2.cscc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Community College of Allegheny County,,0,Pennsylvania,PA,15233,http://www.ccac.edu/,http://www.ccac.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Community College of DC,,0,District Of Columbia,DC,20008,http://www.ccdc.usdc.edu/,http://www.ccdc.usdc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Community College of Vermont,,0,Vermont,VT,5676,http://www.ccv.vsc.edu/,http://www.ccv.vsc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Cosumnes River College,,0,California,CA,95823,http://www.crc.losrios.edu/,http://www.crc.losrios.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,CUNY Bronx Community College,,0,New York,NY,10453,http://www.bcc.cuny.edu/,http://www.bcc.cuny.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Cypress College,,0,California,CA,90630,http://www.cypresscollege.edu/,http://www.cypresscollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Dakota State University,,0,South Dakota,SD,57042,http://www.hittraining.dsu.edu/DSU%20Homepage.htm,http://www.hittraining.dsu.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Dallas County Community College District,,0,Texas,TX,75215,http://www.dcccd.edu/Pages/default.aspx,http://www.dcccd.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Delgado Community College,,0,Louisiana,LA,70119,http://www.dcc.edu/divisions/heit/,http://www.dcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Delta College,,0,Michigan,MI,48710,http://www.delta.edu/home.aspx,http://www.delta.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Des Moines Area Community College,,0,Iowa,IA,50023,http://www.dmacc.edu/,http://www.dmacc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Dyersburg State Community College,,0,Tennessee,TN,38024,http://www.dscc.edu/node/2481,http://www.dscc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,East Los Angeles College,,0,California,CA,91754,http://www.elac.edu/,http://www.elac.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Essex County College,,0,New Jersey,NJ,7102,http://www.essex.edu/,http://www.essex.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Florence-Darlington Technical College,,0,South Carolina,SC,29501,http://www.fdtc.edu/,http://www.fdtc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Fresno City College,,0,California,CA,93741,http://www.fresnocitycollege.edu/,http://www.fresnocitycollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Gloucester County College,,0,New Jersey,NJ,8080,http://www.gccnj.edu/,http://www.gccnj.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Hinds Community College,,0,Mississippi,MS,39154,http://www.hindscc.edu/ehr,http://www.hindscc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,University of Hawaii College - Kapiolani,,0,Hawaii,HI,96817,http://kapiolani.hawaii.edu/page/home,http://kapiolani.hawaii.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Houston Community College System,,0,Texas,TX,77266,http://www.hccs.edu/portal/site/hccs,http://www.hccs.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Indian River Community College,,0,Florida,FL,34981,http://www.irsc.edu/,http://www.irsc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Itawamba Community College,,0,Mississippi,MS,38843,http://www.iccms.edu/programs/temp/HIT_Training_Program.asp,http://www.iccms.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Johnson County Community College,,0,Kansas,KS,66210,http://www.jccc.edu/hitech/index.html,http://www.jccc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Kennebec Valley Community College,,0,Maine,ME,4937,http://www.kvcc.me.edu/,http://www.kvcc.me.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Kirkwood Community College,,0,Iowa,IA,52406,http://www.kirkwood.edu/,http://www.kirkwood.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Lake Region State College,,0,North Dakota,ND,58301,http://www.lrsc.edu/,http://www.lrsc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Lansing Community College,,0,Michigan,MI,48901,http://www.lcc.edu/bci/mdit/hit.aspx,http://www.lcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Macomb Community College,,0,Michigan,MI,48088,http://www.macomb.edu/,http://www.macomb.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Madison Area Technical College,,0,Wisconsin,WI,53704,http://madisoncollege.edu/,http://madisoncollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Maricopa College,,0,Arizona,AZ,85001,http://www.maricopa.edu/,http://www.maricopa.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Metropolitan Community College Area,,0,Nebraska,NE,68111,http://www.mccneb.edu/hitp,http://www.mccneb.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Midland College,,0,Texas,TX,79705,http://www.midland.edu/hitt,http://www.midland.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Milwaukee Area Technical College,,0,Wisconsin,WI,53233,http://www.matc.edu/,http://www.matc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Mission College,,0,California,CA,95054,http://www.missioncollege.org/,http://www.missioncollege.org/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Montana Tech-College of Technology,,0,Montana,MT,59701,http://www.mtech.edu/,http://www.mtech.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Moraine Valley Community College,,0,Illinois,IL,60465,http://www.morainevalley.edu/,http://www.morainevalley.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,National Park Community College,,0,Arkansas,AR,71913,http://www.npcc.edu/community/HealthIT.htm,http://www.npcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Normandale Community College,,0,Minnesota,MN,55431,http://www.normandale.edu/,http://www.normandale.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,North Idaho College,,0,Idaho,ID,83814,http://www.nic.edu/programs/viewprogram.aspx?landing=112,http://www.nic.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Northern Virginia Community College,,0,Virginia,VA,22003,http://www.nvcc.edu/index.html,http://www.nvcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Ocean County College,,0,New Jersey,NJ,8754,http://www.ocean.edu/,http://www.ocean.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Orange Coast College,,0,California,CA,92628,http://www.orangecoastcollege.edu/,http://www.orangecoastcollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Passaic County Community College,,0,New Jersey,NJ,7505,http://www.pccc.cc.nj.us/,http://www.pccc.cc.nj.us/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Pima Community College,,0,Arizona,AZ,85709,http://www.pima.edu/,http://www.pima.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Portland Community College,,0,Oregon,OR,97219,http://www.pcc.edu/programs/computer-info/health-informatics.html,http://www.pcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Pueblo Community College,,0,Colorado,CO,81004,http://www.pueblocc.edu/Academics/AreasStudy/BusinessTechnology/Business/HIT/HIM.htm,http://www.pueblocc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Raritan Valley Community College,,0,New Jersey,NJ,8876,http://www.raritanval.edu/,http://www.raritanval.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Saint Louis  Community College,,0,Missouri,MO,63122,http://www.stlcc.edu/,http://www.stlcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region A,Salt Lake Community College,,0,Utah,UT,84130,http://www.slcc.edu/hit/index.aspx,http://www.slcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,San Diego Mesa College,,0,California,CA,92111,http://www.sdmesa.edu/,http://www.sdmesa.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Santa Barbara City College,,0,California,CA,93109,http://www.sbcc.edu/,http://www.sbcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Santa Fe Community College,,0,Florida,FL,32606,http://www.sfcollege.edu/hit/index.php,http://www.sfcollege.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region B,Santa Monica College,,0,California,CA,90405,http://www.smc.edu/,http://www.smc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Sinclair Community College,,0,Ohio,OH,45402,http://www.sinclair.edu/,http://www.sinclair.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Southern Maine Community College,,0,Maine,ME,4106,http://www.smccme.edu/HIT,http://www.smccme.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,Suffolk County Community College,,0,New York,NY,11784,http://www.sunysuffolk.edu/index.asp,http://www.sunysuffolk.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,SUNY Westchester Community College,,0,New York,NY,10595,http://www.sunywcc.edu/,http://www.sunywcc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Tulsa Community College,,0,Oklahoma,OK,74135,http://www.tulsacc.edu/HealthIT,http://www.tulsacc.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Walters State Community College,,0,Tennessee,TN,37813,http://www.ws.edu/hit,http://www.ws.edu/hit
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region C,Wayne County Community College District,,0,Michigan,MI,48226,http://www.wcccd.edu/,http://www.wcccd.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region D,Jefferson Community and Technical College,,0,Kentucky,KY,42002,http://www.jefferson.kctcs.edu/en/Workforce_Solutions/Elec-Health-Rec.aspx,http://www.jefferson.kctcs.edu/
Health IT Workforce Programs,Community College Consortia to Educate Health IT Professionals Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,Region E,West Virginia Northern Community College,,0,West Virginia,WV,26003,http://wvncc.edu/,http://wvncc.edu/
Health IT Workforce Programs,Competency Examination Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,,Northern Virginia Community College,,"6,000,000.00",Virginia,VA,22003,http://www.nvcc.edu/index.html,http://www.nvcc.edu/
Health IT Workforce Programs,Curriculum Development Centers Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,,Columbia University,,"1,820,000.00",New York,NY,10027,http://www.columbia.edu/,http://www.columbia.edu/
Health IT Workforce Programs,Curriculum Development Centers Program,http://healthit.gov/providers-professionals/workforce-development-programs,Recipient,,Duke University,,"1,820,000.00",North Carolina,NC,27708,https://duke.edu/,https://duke.edu/
