slug,category,name_long,unit,default_value,description
energy,nutrition,Energy,kcal,,
amount,nutrition,Amount,g,,
ash,nutrition,Ash,g,,
beta_hydroxybutyrate,nutrition,Beta-Hydroxybutyrate,g,,
water,nutrition,Water,g,,
carbohydrate,nutrition,Carbohydrates,g,,
net_carbohydrate,nutrition,Net Carbohydrates,g,,
starch,nutrition,Starch,g,,
fat,nutrition,Total Fats,g,,
omega3,nutrition,Omega 3,g,,
omega6,nutrition,Omega 6,g,,
protein,nutrition,Proteins,g,,
saturatedFat,nutrition,Saturated Fats,g,,
monounsaturatedFat,nutrition,Monounsaturated Fats,g,,
polyunsaturatedFat,nutrition,Polyunsaturated Fats,g,,
transFat,nutrition,Trans Fats,g,,
fiber,nutrition,Dietary Fiber,g,,
sugar,nutrition,Sugar,g,,
fructose,nutrition,Fructose,g,,
galactose,nutrition,Galactose,g,,
glucose,nutrition,Glucose,g,,
lactose,nutrition,Lactose,g,,
maltose,nutrition,Maltose,g,,
sucrose,nutrition,Sucrose,g,,
added_sugar,nutrition,Added Sugar,g,,
sugar_alcohol,nutrition,Sugar Alcohol,g,,
alcohol,nutrition,Alcohol,g,,
caffeine,nutrition,Caffeine,mg,,
taurine,nutrition,Taurine,mg,,
nicotine,nutrition,Nicotine,mg,,
cholesterol,nutrition,Cholesterol,mg,,
phytosterol,nutrition,Phytosterol,mg,,
folate,nutrition,Folate,ug,,
calcium,nutrition,Calcium,mg,,
sodium,nutrition,Sodium,mg,,
potassium,nutrition,Potassium,mg,,
magnesium,nutrition,Magnesium,mg,,
phosphorus,nutrition,Phosphorus,mg,,
sulfur,nutrition,Sulfur,mg,,
iron,nutrition,Iron,mg,,
iodine,nutrition,Iodine,ug,,
copper,nutrition,Copper,mg,,
zinc,nutrition,Zinc,mg,,
manganese,nutrition,Manganese,mg,,
molybdenum,nutrition,Molybdenum,ug,,
selenium,nutrition,Selenium,ug,,
cobalt,nutrition,Cobalt,mg,,
chromium,nutrition,Chromium,ug,,
fluoride,nutrition,Fluoride,ug,,
boron,nutrition,Boron,mg,,
silicon,nutrition,Silicon,mg,,
vanadium,nutrition,Vanadium,mg,,
arsenic,nutrition,Arsenic,mg,,
bromine,nutrition,Bromine,mg,,
lithium,nutrition,Lithium,mg,,
nickel,nutrition,Nickel,mg,,
rubidium,nutrition,Rubidium,mg,,
tin,nutrition,Tin,mg,,
vitaminA,nutrition,Vitamin A (Retinol),ug,,
vitaminC,nutrition,Vitamin C (Ascorbic Acid),mg,,
vitaminD,nutrition,Vitamin D (Cholecalciferol),ug,,
vitaminE,nutrition,Vitamin E (Tocopherol),mg,,
vitaminK,nutrition,Vitamin K (Phyllochinon),ug,,
vitaminB1,nutrition,Vitamin B1 (Thiamin),mg,,
vitaminB2,nutrition,Vitamin B2 (Riboflavin),mg,,
vitaminB3,nutrition,Vitamin B3 (Niacin),mg,,
vitaminB5,nutrition,Vitamin B5 (Pantothenic Acid),mg,,
vitaminB6,nutrition,Vitamin B6 (Pyridoxine),mg,,
vitaminB7,nutrition,Vitamin B7 (Biotin),ug,,
vitaminB9,nutrition,Vitamin B9 (Folic Acid),mg,,
vitaminB12,nutrition,Vitamin B12 (Cobalamin),ug,,
choline,nutrition,Choline,mg,,
allergen_contains_milk,nutrition,Contains Milk,g,,
allergen_contains_eggs,nutrition,Contains Eggs,g,,
allergen_contains_fish,nutrition,Contains Fish,g,,
allergen_contains_shellfish,nutrition,Contains Shellfish,g,,
allergen_contains_tree_nuts,nutrition,Contains Tree Nuts,g,,
allergen_contains_peanuts,nutrition,Contains Peanuts,g,,
allergen_contains_wheat,nutrition,Contains Wheat,g,,
allergen_contains_soybeans,nutrition,Contains Soybeans,g,,
allergen_contains_gluten,nutrition,Contains Gluten,g,,
contains_processed_food,nutrition,Contains Processed Food,g,,
contains_additives,nutrition,Contains Additives,g,,
alanine,nutrition,Alanine,g,,
arginine,nutrition,Arginine,g,,
asparagine,nutrition,Asparagine,g,,
aspartic_acid,nutrition,Aspartic Acid,g,,
cysteine,nutrition,Cysteine,g,,
glutamine,nutrition,Glutamine,g,,
glutamic_acid,nutrition,Glutamic Acid,g,,
glycine,nutrition,Glycine,g,,
histidine,nutrition,Histidine,g,,
hydroxyproline,nutrition,Hydroxyproline,g,,
isoleucine,nutrition,Isoleucine,g,,
leucine,nutrition,Leucine,g,,
lysine,nutrition,Lysine,g,,
methionine,nutrition,Methionine,g,,
phenylalanine,nutrition,Phenylalanine,g,,
proline,nutrition,Proline,g,,
serine,nutrition,Serine,g,,
threonine,nutrition,Threonine,g,,
tryptophan,nutrition,Tryptophan,g,,
tyrosine,nutrition,Tyrosine,g,,
valine,nutrition,Valine,g,,